district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume
Charaideo,Assam,Medical,Rural,124.8,123.17,99.67,81.97,70.5
Chirang,Assam,Food,Rural,64.4,73.68,93.0,72.23,47.59
Darrang,Assam,LifeStyle,Rural,8.8,113.46,83.98,70.38,44.84
Dhemaji,Assam,IT and Security,Urban,194.2,98.06,79.21,85.56,55.86
Dhubri,Assam,Agriculture,Urban,196.8,79.14,89.93,65.86,84.42
Dibrugarh,Assam,Medical,Rural,76.3,86.03,80.14,65.24,62.58
Dima Hasao,Assam,LifeStyle,Rural,25.6,76.1,89.33,81.97,70.87
Goalpara,Assam,Agriculture,Rural,128.1,95.56,82.87,71.22,47.24
Golaghat,Assam,Food,Rural,199.5,84.28,70.04,88.39,90.69
Hailakandi,Assam,Agriculture,Rural,5.8,66.96,78.64,75.64,47.42
Hojai,Assam,Medical,Urban,155.3,122.15,91.03,65.5,33.33
Jorhat,Assam,Services,Rural,184.7,57.96,99.9,86.93,52.25
Kamrup Metropolitan,Assam,Agriculture,Rural,176.8,90.49,74.02,86.03,69.53
Kamrup Rural,Assam,LifeStyle,Urban,173.9,78.67,84.08,90.84,58.11
Karbi Anglong,Assam,Medical,Rural,164.9,79.87,96.05,62.89,39.57
Karimganj,Assam,Manufacturing,Rural,167.5,121.3,81.84,76.14,62.01
Kokrajhar,Assam,Medical,Urban,93.5,93.52,72.12,80.4,42.81
Lakhimpur,Assam,Food,Rural,110.5,82.17,96.24,90.18,53.64
Majuli,Assam,Food,Rural,182.5,75.85,82.19,91.75,43.25
Morigaon,Assam,Services,Rural,21.1,74.14,98.29,70.51,49.19
Nagaon,Assam,Manufacturing,Rural,120.6,76.19,87.95,89.55,61.5
Nalbari,Assam,Agriculture,Urban,82.9,95.63,73.65,63.4,40.48
Sivasagar,Assam,Services,Urban,88.9,94.89,77.17,81.1,37.51
Sonitpur,Assam,Food,Rural,47.9,104.73,81.4,93.8,22.86
South Salmara-Mankachar,Assam,IT and Security,Rural,92.7,61.7,95.02,92.81,56.59
Tamulpur,Assam,Agriculture,Urban,40.0,52.79,79.04,88.79,61.17
Tinsukia,Assam,Construction,Urban,138.6,51.47,80.05,92.56,36.65
Udalguri,Assam,Services,Urban,116.3,55.46,85.86,94.74,52.74
West Karbi Anglong,Assam,Agriculture,Urban,151.0,83.74,96.49,77.06,58.54
Araria,Bihar,Manufacturing,Rural,176.5,66.09,74.09,92.63,56.97
Arwal,Bihar,Medical,Urban,134.7,78.24,74.53,74.51,45.78
Aurangabad,Bihar,LifeStyle,Rural,132.4,50.83,92.39,83.64,52.42
Banka,Bihar,LifeStyle,Rural,166.1,96.76,92.72,75.33,47.77
Begusarai,Bihar,IT and Security,Rural,125.3,74.03,88.13,81.81,34.89
Bhagalpur,Bihar,IT and Security,Rural,38.9,67.27,80.8,86.12,40.61
Bhojpur,Bihar,IT and Security,Rural,43.3,76.41,81.56,83.95,55.74
Buxar,Bihar,Medical,Rural,195.9,80.21,92.32,76.43,53.82
Darbhanga,Bihar,Construction,Rural,122.5,87.18,83.35,73.51,47.75
East Champaran,Bihar,LifeStyle,Urban,147.9,82.66,72.53,88.29,43.96
Gaya,Bihar,Construction,Rural,142.3,82.79,77.86,65.78,56.46
Gopalganj,Bihar,Construction,Rural,76.7,61.75,75.72,64.23,60.11
Jamui,Bihar,Construction,Rural,36.9,68.99,80.15,64.88,46.85
Jehanabad,Bihar,LifeStyle,Urban,25.3,76.07,72.79,78.58,56.77
Kaimur,Bihar,IT and Security,Rural,112.3,57.07,99.04,87.34,40.3
Katihar,Bihar,Construction,Rural,175.8,52.44,95.05,80.44,56.12
Khagaria,Bihar,LifeStyle,Rural,185.9,62.75,83.43,79.84,57.24
Kishanganj,Bihar,Agriculture,Rural,130.2,50.04,89.69,65.9,43.43
Lakhisarai,Bihar,IT and Security,Urban,178.2,88.91,72.86,88.19,64.86
Madhepura,Bihar,IT and Security,Urban,146.8,64.68,81.32,77.95,58.2
Madhubani,Bihar,Manufacturing,Rural,123.0,64.17,86.18,80.54,26.05
Munger,Bihar,IT and Security,Rural,173.4,74.31,70.5,85.13,99.99
Muzaffarpur,Bihar,Food,Rural,46.9,83.76,96.28,81.39,59.77
Nalanda,Bihar,Manufacturing,Urban,36.9,53.45,79.06,71.85,70.66
Nawada,Bihar,Services,Urban,71.3,103.01,82.46,65.44,70.19
Patna,Bihar,Agriculture,Urban,159.0,75.83,84.18,73.43,28.83
Purnia,Bihar,Agriculture,Rural,27.1,69.32,73.37,73.5,57.85
Rohtas,Bihar,Food,Rural,167.2,61.87,90.97,90.64,35.47
Saharsa,Bihar,Manufacturing,Urban,101.6,150.83,80.89,80.76,71.18
Samastipur,Bihar,LifeStyle,Rural,177.0,107.11,97.31,87.71,50.04
Saran,Bihar,Medical,Urban,110.1,60.48,93.74,94.19,50.56
Sheikhpura,Bihar,Medical,Rural,157.5,60.55,98.4,87.89,41.01
Sheohar,Bihar,Medical,Urban,102.9,66.79,99.75,86.74,64.39
Sitamarhi,Bihar,Manufacturing,Urban,125.8,81.8,80.14,62.79,63.06
Siwan,Bihar,LifeStyle,Rural,40.7,104.77,71.17,83.21,44.6
Supaul,Bihar,IT and Security,Rural,74.3,97.11,93.5,83.56,35.78
Vaishali,Bihar,Medical,Rural,132.1,94.23,80.61,72.94,43.68
West Champaran,Bihar,Services,Rural,69.9,71.91,94.96,73.99,62.13
Chandigarh,Chandigarh,IT and Security,Urban,74.8,54.77,99.35,66.83,63.92
Balod,Chhattisgarh,IT and Security,Urban,108.4,71.73,96.79,77.44,55.61
Baloda Bazar,Chhattisgarh,LifeStyle,Rural,189.3,105.71,92.35,79.35,68.86
Balrampur,Chhattisgarh,Construction,Rural,99.1,99.48,90.43,83.16,49.09
Bastar,Chhattisgarh,Food,Rural,127.7,51.39,96.1,68.27,44.46
Bemetara,Chhattisgarh,Services,Rural,112.5,103.06,81.08,62.5,25.97
Bijapur,Chhattisgarh,Agriculture,Urban,89.6,110.96,79.27,77.58,46.94
Bilaspur,Chhattisgarh,Construction,Urban,85.7,75.95,81.43,68.28,69.84
Dantewada,Chhattisgarh,LifeStyle,Urban,191.7,76.65,96.81,92.66,48.65
Dhamtari,Chhattisgarh,Agriculture,Rural,21.7,81.35,79.43,70.37,41.29
Durg,Chhattisgarh,Construction,Rural,97.1,100.1,75.21,63.77,36.23
Gariaband,Chhattisgarh,Construction,Urban,53.4,60.8,87.36,80.34,79.3
Gaurela Pendra Marwahi,Chhattisgarh,LifeStyle,Urban,22.4,67.87,74.81,87.09,71.19
Janjgir Champa,Chhattisgarh,Food,Urban,78.9,90.42,91.91,69.51,52.01
Jashpur,Chhattisgarh,Agriculture,Rural,73.9,60.98,96.79,86.85,65.67
Kabirdham,Chhattisgarh,Medical,Rural,83.6,95.71,94.26,65.81,56.11
Kanker,Chhattisgarh,Agriculture,Urban,8.9,63.01,74.58,62.97,69.62
Khairagarh,Chhattisgarh,LifeStyle,Rural,142.2,131.31,74.78,70.19,55.85
Kondagaon,Chhattisgarh,LifeStyle,Urban,65.4,77.45,81.33,65.03,62.09
Korba,Chhattisgarh,Food,Rural,189.6,92.89,97.08,80.86,69.99
Koriya,Chhattisgarh,Construction,Urban,141.9,72.82,75.22,85.14,58.3
Mahasamund,Chhattisgarh,Agriculture,Urban,27.8,73.57,72.45,61.64,40.91
Manendragarh,Chhattisgarh,Medical,Urban,107.1,67.65,86.17,69.16,52.33
Mohla Manpur,Chhattisgarh,Food,Urban,125.5,43.59,80.96,64.34,95.12
Mungeli,Chhattisgarh,Food,Urban,95.5,92.54,87.49,77.77,68.18
Narayanpur,Chhattisgarh,LifeStyle,Urban,73.6,49.37,86.88,62.98,45.5
Raigarh,Chhattisgarh,Agriculture,Rural,5.7,104.82,94.66,90.35,44.25
Raipur,Chhattisgarh,Food,Urban,121.9,84.84,87.23,83.73,66.34
Rajnandgaon,Chhattisgarh,Agriculture,Urban,177.4,84.32,89.38,68.8,22.94
Sakti,Chhattisgarh,Construction,Urban,73.7,76.34,97.23,76.33,43.07
Sarangarh Bilaigarh,Chhattisgarh,Manufacturing,Urban,74.9,74.61,83.97,78.46,60.81
Sukma,Chhattisgarh,Construction,Urban,106.9,82.73,96.16,60.96,47.7
Surajpur,Chhattisgarh,Construction,Urban,184.3,98.57,93.45,88.89,64.02
Surguja,Chhattisgarh,IT and Security,Urban,155.8,74.82,88.35,89.79,65.72
Dadra and Nagar Haveli,Dadra Nagar Haveli and Daman and Diu,Food,Rural,46.5,112.45,74.65,87.03,49.68
Daman,Dadra Nagar Haveli and Daman and Diu,Manufacturing,Rural,122.6,77.53,72.53,61.95,55.62
Diu,Dadra Nagar Haveli and Daman and Diu,Services,Urban,104.7,87.29,94.56,76.35,31.32
Central Delhi,Delhi,Medical,Urban,108.7,53.64,91.09,89.39,66.1
East Delhi,Delhi,Food,Urban,111.4,93.78,79.9,80.5,34.81
New Delhi,Delhi,Construction,Rural,161.2,102.32,88.8,92.32,28.91
North Delhi,Delhi,Manufacturing,Rural,86.7,110.51,71.33,87.04,34.09
North East Delhi,Delhi,Manufacturing,Rural,7.2,110.69,87.14,75.06,1.63
North West Delhi,Delhi,Construction,Urban,58.8,90.13,71.4,80.74,28.34
Shahdara,Delhi,Construction,Urban,95.5,43.3,75.56,62.32,44.89
South Delhi,Delhi,LifeStyle,Rural,68.9,103.17,70.18,82.12,29.9
South East Delhi,Delhi,IT and Security,Urban,144.7,100.53,77.3,93.07,79.67
South West Delhi,Delhi,LifeStyle,Urban,34.2,91.41,87.57,69.47,72.32
West Delhi,Delhi,Agriculture,Rural,194.7,97.55,91.1,76.22,68.13
North Goa,Goa,Construction,Rural,139.4,79.72,95.07,73.88,56.39
South Goa,Goa,Agriculture,Rural,182.6,73.79,96.76,80.41,37.26
Ahmedabad,Gujarat,Food,Rural,128.8,53.22,98.51,81.91,84.57
Amreli,Gujarat,Food,Rural,61.8,92.56,92.47,63.19,55.2
Anand,Gujarat,Services,Urban,36.2,77.97,89.22,87.48,24.26
Aravalli,Gujarat,LifeStyle,Urban,161.1,69.34,75.27,79.63,54.09
Banaskantha,Gujarat,Construction,Rural,197.6,89.73,74.82,75.42,48.49
Bharuch,Gujarat,Construction,Rural,40.6,100.27,70.45,72.65,47.87
Bhavnagar,Gujarat,Services,Urban,114.1,72.67,89.93,91.15,46.28
Botad,Gujarat,Construction,Urban,32.1,96.69,80.27,88.9,34.08
Chhota Udaipur,Gujarat,LifeStyle,Rural,181.9,67.07,83.66,81.24,59.03
Dahod,Gujarat,Manufacturing,Rural,147.2,45.72,98.95,76.7,75.5
Dang,Gujarat,Food,Urban,106.7,104.57,77.01,68.97,18.45
Devbhoomi Dwarka,Gujarat,Food,Rural,188.6,54.42,81.64,87.13,72.68
Gandhinagar,Gujarat,Medical,Rural,177.0,92.89,72.21,69.87,64.42
Gir Somnath,Gujarat,IT and Security,Rural,63.5,44.22,93.61,85.42,63.25
Jamnagar,Gujarat,LifeStyle,Rural,173.0,73.26,90.74,78.25,73.89
Junagadh,Gujarat,Medical,Rural,11.6,83.16,71.84,87.89,53.33
Kheda,Gujarat,Food,Urban,106.7,81.71,93.63,78.77,67.3
Kutch,Gujarat,Agriculture,Urban,175.5,66.03,73.74,80.83,40.94
Mahisagar,Gujarat,Construction,Rural,5.6,95.76,81.22,85.75,49.9
Mehsana,Gujarat,Food,Urban,55.7,94.66,95.1,65.64,45.35
Morbi,Gujarat,Medical,Rural,149.3,70.07,99.69,73.27,54.02
Narmada,Gujarat,IT and Security,Urban,55.8,88.07,92.14,86.27,48.41
Navsari,Gujarat,Agriculture,Urban,133.6,95.27,94.46,68.28,42.64
Panchmahal,Gujarat,Medical,Urban,19.8,86.37,95.2,85.61,73.73
Patan,Gujarat,Food,Rural,134.2,75.21,84.17,73.51,39.89
Porbandar,Gujarat,Services,Rural,168.0,126.63,83.84,91.02,42.66
Rajkot,Gujarat,Manufacturing,Urban,148.4,90.3,99.59,68.77,68.51
Sabarkantha,Gujarat,LifeStyle,Rural,58.2,67.79,98.54,72.03,49.21
Surat,Gujarat,IT and Security,Rural,74.7,136.71,88.3,83.75,54.15
Surendranagar,Gujarat,Food,Urban,62.0,118.11,80.46,83.77,72.07
Tapi,Gujarat,Construction,Urban,177.6,41.51,86.41,72.34,52.93
Vadodara,Gujarat,LifeStyle,Urban,81.7,78.8,91.74,73.71,78.63
Valsad,Gujarat,LifeStyle,Urban,185.2,66.93,99.88,86.87,63.89
Ambala,Haryana,Construction,Rural,124.4,60.49,71.31,70.21,66.29
Bhiwani,Haryana,IT and Security,Rural,28.6,90.94,88.64,77.63,67.38
Charkhi Dadri,Haryana,Construction,Urban,150.0,103.17,98.76,76.24,45.7
Faridabad,Haryana,Agriculture,Rural,52.4,80.66,72.8,71.49,25.94
Fatehabad,Haryana,Food,Rural,76.4,78.0,92.28,61.54,51.58
Gurugram,Haryana,IT and Security,Rural,38.1,112.87,83.16,67.4,43.31
Hisar,Haryana,Food,Rural,177.2,72.24,96.22,93.85,58.67
Jhajjar,Haryana,IT and Security,Rural,73.3,38.42,89.83,86.16,35.27
Jind,Haryana,IT and Security,Rural,179.2,94.02,99.43,63.61,42.82
Kaithal,Haryana,LifeStyle,Rural,182.6,104.06,92.83,83.29,73.27
Karnal,Haryana,IT and Security,Rural,91.0,78.4,76.54,78.56,67.89
Kurukshetra,Haryana,Manufacturing,Urban,186.0,66.38,77.89,83.43,71.59
Mahendragarh,Haryana,IT and Security,Rural,55.3,90.7,74.5,68.08,34.84
Nuh,Haryana,Construction,Urban,155.3,97.44,84.52,65.37,44.2
Palwal,Haryana,Food,Rural,154.4,37.2,73.19,81.11,27.23
Panchkula,Haryana,Medical,Rural,119.7,61.48,73.91,80.37,79.66
Panipat,Haryana,Medical,Rural,159.6,107.01,80.75,85.56,30.24
Rewari,Haryana,Services,Urban,82.6,71.17,77.7,78.53,39.85
Rohtak,Haryana,Manufacturing,Urban,21.3,127.78,83.37,84.36,63.67
Sirsa,Haryana,Agriculture,Rural,134.3,79.07,94.19,73.72,75.51
Sonipat,Haryana,Agriculture,Urban,138.4,84.68,89.41,93.37,18.32
Yamunanagar,Haryana,IT and Security,Rural,74.7,72.22,85.4,93.23,73.4
Bilaspur,Himachal Pradesh,Food,Rural,80.0,88.55,98.17,77.72,55.14
Chamba,Himachal Pradesh,Manufacturing,Rural,57.1,75.74,91.52,66.71,46.06
Hamirpur,Himachal Pradesh,Food,Rural,175.7,115.08,80.57,78.51,42.04
Kangra,Himachal Pradesh,Medical,Rural,96.2,96.53,71.74,81.64,21.72
Kinnaur,Himachal Pradesh,Construction,Rural,91.7,116.22,78.49,70.59,66.86
Kullu,Himachal Pradesh,Food,Urban,22.6,65.29,74.38,66.98,50.19
Lahaul Spiti,Himachal Pradesh,Food,Rural,53.3,52.18,74.98,70.59,60.21
Mandi,Himachal Pradesh,Construction,Urban,92.5,97.29,76.75,62.02,31.15
Shimla,Himachal Pradesh,Manufacturing,Rural,154.4,28.18,99.93,90.6,42.72
Sirmaur,Himachal Pradesh,Services,Urban,159.1,77.7,92.13,68.51,38.27
Solan,Himachal Pradesh,Construction,Rural,9.1,93.67,97.95,84.58,65.79
Una,Himachal Pradesh,Construction,Urban,40.7,63.5,70.76,85.44,37.26
Anantnag,Jammu Kashmir,Medical,Rural,71.0,82.61,94.03,78.93,75.45
Bandipora,Jammu Kashmir,Food,Rural,174.6,67.03,77.56,60.05,30.59
Baramulla,Jammu Kashmir,IT and Security,Rural,44.2,78.35,87.7,94.48,59.8
Budgam,Jammu Kashmir,Food,Rural,82.9,54.7,77.41,61.58,53.98
Doda,Jammu Kashmir,Services,Urban,94.3,70.84,91.24,67.99,51.57
Ganderbal,Jammu Kashmir,Agriculture,Urban,125.6,73.21,86.49,73.06,54.87
Jammu,Jammu Kashmir,Agriculture,Urban,181.1,85.82,78.24,92.92,37.17
Kathua,Jammu Kashmir,Food,Rural,178.2,59.73,84.44,94.09,73.9
Kishtwar,Jammu Kashmir,Agriculture,Urban,183.7,36.42,80.11,62.31,25.58
Kulgam,Jammu Kashmir,Services,Rural,165.5,86.87,87.7,72.61,57.36
Kupwara,Jammu Kashmir,LifeStyle,Urban,69.7,90.37,91.52,87.2,69.07
Poonch,Jammu Kashmir,Services,Rural,148.1,86.43,71.14,77.57,51.73
Pulwama,Jammu Kashmir,IT and Security,Urban,30.6,92.46,91.59,92.66,43.39
Rajouri,Jammu Kashmir,Services,Rural,101.2,78.45,97.37,86.01,72.34
Ramban,Jammu Kashmir,Agriculture,Rural,166.1,116.11,84.73,72.06,35.65
Reasi,Jammu Kashmir,LifeStyle,Rural,63.7,80.63,80.06,81.01,63.56
Samba,Jammu Kashmir,Manufacturing,Rural,100.8,57.16,70.76,63.37,28.39
Shopian,Jammu Kashmir,Agriculture,Urban,64.8,115.21,76.47,79.45,58.99
Srinagar,Jammu Kashmir,Construction,Rural,21.2,118.92,72.54,89.84,44.21
Udhampur,Jammu Kashmir,Construction,Rural,108.7,75.79,74.8,62.72,40.44
Bokaro,Jharkhand,Services,Rural,196.7,92.15,99.08,81.84,30.16
Chatra,Jharkhand,Manufacturing,Rural,102.8,83.12,92.44,62.65,46.83
Deoghar,Jharkhand,Services,Rural,144.3,79.56,71.69,87.97,59.3
Dhanbad,Jharkhand,IT and Security,Rural,81.3,72.72,70.42,71.5,63.43
Dumka,Jharkhand,LifeStyle,Rural,5.9,93.82,79.37,67.7,69.6
East Singhbhum,Jharkhand,Construction,Rural,145.6,94.28,73.56,62.9,34.77
Garhwa,Jharkhand,Medical,Urban,103.0,76.32,93.05,72.34,68.7
Giridih,Jharkhand,LifeStyle,Rural,130.0,105.87,77.74,76.94,64.13
Godda,Jharkhand,Medical,Urban,133.6,67.9,81.9,60.79,65.38
Gumla,Jharkhand,IT and Security,Rural,72.1,83.08,83.02,82.75,52.06
Hazaribagh,Jharkhand,Manufacturing,Rural,37.1,95.63,91.98,73.97,45.68
Jamtara,Jharkhand,Manufacturing,Urban,134.7,72.1,82.22,66.16,77.84
Khunti,Jharkhand,IT and Security,Rural,189.7,78.28,93.83,79.32,51.87
Koderma,Jharkhand,Manufacturing,Rural,178.3,72.78,75.44,70.03,12.86
Latehar,Jharkhand,IT and Security,Rural,115.8,69.19,79.94,76.67,55.03
Lohardaga,Jharkhand,LifeStyle,Urban,18.8,72.33,77.69,72.55,64.92
Pakur,Jharkhand,Medical,Rural,6.3,84.4,87.39,73.49,14.7
Palamu,Jharkhand,IT and Security,Rural,93.6,99.22,89.57,91.95,94.3
Ramgarh,Jharkhand,Manufacturing,Urban,45.5,65.22,71.49,67.88,23.01
Ranchi,Jharkhand,LifeStyle,Rural,107.3,59.21,93.33,79.85,49.09
Sahebganj,Jharkhand,LifeStyle,Rural,90.0,70.14,92.71,89.8,49.67
Seraikela Kharsawan,Jharkhand,IT and Security,Rural,162.0,92.85,83.02,83.77,57.96
Simdega,Jharkhand,IT and Security,Rural,133.6,66.02,72.53,93.11,39.1
West Singhbhum,Jharkhand,Services,Rural,66.3,105.42,70.78,70.0,54.68
Bagalkot,Karnataka,Services,Rural,22.0,98.14,86.85,87.96,35.5
Bangalore Rural,Karnataka,LifeStyle,Urban,183.9,73.61,94.23,65.88,48.7
Bangalore Urban,Karnataka,Agriculture,Urban,112.0,92.08,81.26,63.88,49.8
Belgaum,Karnataka,LifeStyle,Rural,7.2,42.58,96.54,61.98,47.7
Bellary,Karnataka,Food,Rural,22.3,71.7,98.66,68.93,70.2
Bidar,Karnataka,Medical,Rural,111.8,93.13,77.49,78.96,53.94
Chamarajanagar,Karnataka,LifeStyle,Rural,128.6,87.31,97.54,62.47,76.57
Chikkaballapur,Karnataka,Construction,Rural,129.4,72.51,99.91,61.48,48.49
Chikkamagaluru,Karnataka,Medical,Urban,184.0,92.44,71.49,61.12,51.99
Chitradurga,Karnataka,Agriculture,Rural,50.7,98.72,91.54,94.79,60.97
Dakshina Kannada,Karnataka,Agriculture,Urban,15.0,84.04,91.22,94.44,29.46
Davanagere,Karnataka,Services,Rural,89.3,93.21,87.58,91.07,44.46
Dharwad,Karnataka,IT and Security,Rural,50.5,90.35,75.95,72.17,53.22
Gadag,Karnataka,IT and Security,Urban,181.0,74.73,96.59,61.92,53.42
Hassan,Karnataka,Medical,Urban,141.7,47.18,84.87,78.14,48.78
Haveri,Karnataka,LifeStyle,Urban,64.4,33.18,79.68,77.94,61.37
Kalaburagi,Karnataka,Construction,Rural,149.9,92.52,89.3,74.3,37.37
Kodagu,Karnataka,IT and Security,Rural,35.0,69.11,90.31,84.95,38.45
Kolar,Karnataka,Agriculture,Rural,97.4,91.16,77.38,90.88,68.0
Koppal,Karnataka,IT and Security,Rural,156.9,76.45,91.45,68.71,49.16
Mandya,Karnataka,Food,Rural,182.3,83.49,72.25,64.32,38.98
Mysore,Karnataka,Services,Rural,77.9,95.88,85.73,73.04,62.87
Raichur,Karnataka,Agriculture,Rural,114.8,84.58,74.48,85.95,30.7
Ramanagara,Karnataka,LifeStyle,Rural,35.4,103.67,91.19,87.53,47.02
Shimoga,Karnataka,Agriculture,Urban,163.5,105.1,93.19,82.11,49.02
Tumkur,Karnataka,Construction,Rural,87.0,71.68,78.13,64.73,52.91
Udupi,Karnataka,IT and Security,Rural,9.3,102.1,95.78,74.78,51.0
Uttara Kannada,Karnataka,Services,Rural,127.7,57.34,77.12,92.63,80.13
Vijayanagara,Karnataka,Manufacturing,Rural,194.0,62.6,93.19,75.45,33.15
Vijayapura,Karnataka,Agriculture,Rural,150.7,84.58,81.34,64.86,36.43
Yadgir,Karnataka,Services,Rural,156.6,63.43,99.92,63.43,52.54
Alappuzha,Kerala,Medical,Rural,46.5,87.23,82.1,86.09,28.81
Ernakulam,Kerala,Services,Rural,186.8,52.04,71.3,69.07,64.35
Idukki,Kerala,Food,Urban,166.8,67.73,83.8,72.03,73.94
Kannur,Kerala,Construction,Urban,135.6,78.44,74.32,63.36,62.29
