district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume,gender,predicted_income
Kangpokpi,Manipur,Agriculture,Urban,144.9,61.77,99.94,65.39,74.28,Female,28746.15
Namakkal,Tamil Nadu,Medical,Rural,188.8,79.6,96.37,81.56,75.28,Female,41795.8
Jind,Haryana,IT and Security,Rural,179.2,94.02,99.43,63.61,42.82,Male,68706.84
Osmanabad,Maharashtra,Manufacturing,Rural,6.1,74.82,80.97,79.1,63.15,Female,52414.03
Jaipur Rural,Rajasthan,Agriculture,Urban,93.4,38.21,73.11,69.21,42.01,Female,8932.65
Shahpura,Rajasthan,Construction,Rural,88.0,91.92,84.05,87.23,48.99,Female,46921.95
Ariyalur,Tamil Nadu,Manufacturing,Rural,77.9,79.49,94.76,72.23,42.09,Male,15674.1
Upper Siang,Arunachal Pradesh,IT and Security,Rural,172.6,89.96,97.95,94.69,38.88,Female,31828.93
Erode,Tamil Nadu,Food,Rural,151.3,85.0,84.84,71.31,46.74,Male,75084.91
Mysore,Karnataka,Services,Rural,77.9,95.88,85.73,73.04,62.87,Male,28537.39
Sant Kabir Nagar,Uttar Pradesh,Manufacturing,Rural,112.9,72.02,77.3,61.63,60.29,Male,25614.34
Kota,Rajasthan,IT and Security,Urban,111.0,85.62,92.77,64.85,47.42,Male,51489.24
Bhadohi,Uttar Pradesh,IT and Security,Urban,32.1,71.93,93.79,84.64,65.88,Female,29417.02
Bharuch,Gujarat,Construction,Rural,40.6,100.27,70.45,72.65,47.87,Female,24761.72
Rohtak,Haryana,Manufacturing,Urban,21.3,127.78,83.37,84.36,63.67,Male,55883.12
Chamarajanagar,Karnataka,LifeStyle,Rural,128.6,87.31,97.54,62.47,76.57,Female,12872.98
South Delhi,Delhi,LifeStyle,Rural,68.9,103.17,70.18,82.12,29.9,Male,36414.0
Latur,Maharashtra,Medical,Rural,171.2,54.66,89.95,63.22,25.88,Male,9590.69
Lakhimpur,Assam,Food,Rural,110.5,82.17,96.24,90.18,53.64,Female,52812.09
Kalaburagi,Karnataka,Construction,Rural,149.9,92.52,89.3,74.3,37.37,Female,45932.88
Kozhikode,Kerala,Food,Rural,13.9,50.08,88.31,71.5,31.26,Female,13418.29
East Singhbhum,Jharkhand,Construction,Rural,145.6,94.28,73.56,62.9,34.77,Male,67245.18
Rupnagar,Punjab,Services,Rural,170.1,68.42,87.13,63.31,33.45,Male,47809.71
Jamui,Bihar,Construction,Rural,36.9,68.99,80.15,64.88,46.85,Male,19557.78
Palnadu,Andhra Pradesh,IT and Security,Urban,143.6,72.97,78.37,82.07,49.19,Female,29070.98
Dang,Gujarat,Food,Urban,106.7,104.57,77.01,68.97,18.45,Male,41801.43
N T Rama Rao,Andhra Pradesh,Medical,Rural,116.3,88.14,77.14,66.12,45.06,Female,40954.07
Mancherial,Telangana,Food,Rural,187.9,70.51,99.35,90.29,67.34,Female,31827.96
Palghar,Maharashtra,IT and Security,Urban,26.3,67.35,82.75,66.42,43.61,Male,49553.09
Palwal,Haryana,Food,Rural,154.4,37.2,73.19,81.11,27.23,Female,32870.25
Khairthal Tijara,Rajasthan,IT and Security,Urban,10.4,87.02,91.78,89.01,77.58,Male,41533.27
Beawar,Rajasthan,Manufacturing,Rural,54.3,77.73,83.87,81.59,48.94,Male,37215.54
Madurai,Tamil Nadu,Manufacturing,Urban,87.9,85.66,71.44,76.27,53.88,Female,25876.46
Purulia,West Bengal,Manufacturing,Rural,82.3,89.62,94.51,83.42,39.4,Female,16938.03
Mandi,Himachal Pradesh,Construction,Urban,92.5,97.29,76.75,62.02,31.15,Male,9003.22
Krishna,Andhra Pradesh,Manufacturing,Urban,130.9,85.15,85.88,86.95,68.14,Male,34803.61
Balaghat,Madhya Pradesh,Agriculture,Rural,20.6,86.73,72.1,65.76,32.12,Female,13044.25
West Godavari,Andhra Pradesh,Manufacturing,Urban,193.5,80.3,92.22,80.21,76.73,Female,46317.27
Chennai,Tamil Nadu,Manufacturing,Rural,94.1,97.28,84.75,94.61,68.95,Female,28287.7
Neemuch,Madhya Pradesh,IT and Security,Urban,18.3,77.14,97.63,66.9,86.83,Male,61361.09
Patan,Gujarat,Food,Rural,134.2,75.21,84.17,73.51,39.89,Male,39496.73
South Garo Hills,Meghalaya,IT and Security,Rural,21.2,88.91,94.59,61.25,51.44,Male,43418.45
Biswanath,Assam,IT and Security,Rural,39.2,74.68,75.61,67.89,55.41,Male,46240.59
Damoh,Madhya Pradesh,Medical,Rural,69.0,110.45,83.0,87.74,55.15,Male,60652.3
Kutch,Gujarat,Agriculture,Urban,175.5,66.03,73.74,80.83,40.94,Female,37482.82
Madhepura,Bihar,IT and Security,Urban,146.8,64.68,81.32,77.95,58.2,Female,14547.99
Darrang,Assam,LifeStyle,Rural,8.8,113.46,83.98,70.38,44.84,Male,50977.87
Ukhrul,Manipur,Food,Urban,13.8,88.46,88.14,92.94,53.02,Male,60927.71
Agra,Uttar Pradesh,Manufacturing,Rural,187.4,88.75,93.55,70.68,71.53,Male,50066.77
Ratlam,Madhya Pradesh,Services,Urban,190.1,101.23,96.81,80.73,66.36,Male,29615.03
Aurangabad,Bihar,LifeStyle,Rural,132.4,50.83,92.39,83.64,52.42,Male,48359.23
Aurangabad,Maharashtra,Agriculture,Urban,139.4,103.46,87.66,88.1,60.42,Male,59216.88
Sonitpur,Assam,Food,Rural,47.9,104.73,81.4,93.8,22.86,Male,41556.98
Kalahandi,Odisha,Manufacturing,Urban,151.1,41.61,80.3,88.23,37.59,Female,25561.59
Gautam Buddha Nagar,Uttar Pradesh,LifeStyle,Rural,121.5,71.5,88.06,64.4,64.57,Female,43416.28
Kolasib,Mizoram,Medical,Urban,18.7,68.54,84.45,75.53,45.11,Male,36362.49
Ghaziabad,Uttar Pradesh,IT and Security,Rural,33.5,93.69,94.32,85.37,84.46,Female,51219.5
West Siang,Arunachal Pradesh,Medical,Urban,97.1,77.87,85.62,77.33,68.37,Male,51782.83
Firozabad,Uttar Pradesh,LifeStyle,Rural,99.6,66.44,73.86,66.28,55.32,Male,36177.42
Lepa Rada,Arunachal Pradesh,Construction,Urban,137.7,102.88,72.77,73.57,63.04,Male,35406.28
Mau,Uttar Pradesh,Manufacturing,Rural,112.0,81.23,75.06,60.68,58.82,Female,29692.37
Supaul,Bihar,IT and Security,Rural,74.3,97.11,93.5,83.56,35.78,Female,55868.72
Firozpur,Punjab,Food,Rural,172.8,98.62,97.71,75.59,65.97,Male,33328.64
Sindhudurg,Maharashtra,Construction,Rural,88.8,80.63,86.98,68.76,46.42,Male,50748.27
Panchmahal,Gujarat,Medical,Urban,19.8,86.37,95.2,85.61,73.73,Male,39498.69
Etawah,Uttar Pradesh,Food,Rural,188.9,56.75,78.26,84.2,45.83,Male,50280.65
Guna,Madhya Pradesh,Construction,Rural,55.4,78.02,82.88,72.97,42.79,Female,37069.93
Pathanamthitta,Kerala,Construction,Rural,177.4,93.93,94.35,74.36,48.45,Male,75327.57
Damoh,Madhya Pradesh,Medical,Rural,69.0,110.45,83.0,87.74,55.15,Female,45729.52
Kamle,Arunachal Pradesh,Manufacturing,Rural,49.5,41.72,72.95,74.39,44.94,Female,15807.43
Baloda Bazar,Chhattisgarh,LifeStyle,Rural,189.3,105.71,92.35,79.35,68.86,Male,28615.9
Kakinada,Andhra Pradesh,Services,Urban,5.7,98.81,75.49,68.49,56.16,Male,21793.24
Coimbatore,Tamil Nadu,Manufacturing,Rural,11.9,49.8,86.83,60.11,59.23,Female,45176.11
Mahabubabad,Telangana,Food,Rural,43.7,71.83,95.4,69.5,41.91,Female,39010.09
Amritsar,Punjab,LifeStyle,Rural,172.5,72.58,81.67,70.12,28.8,Male,5000.0
Hyderabad,Telangana,LifeStyle,Rural,72.9,79.79,86.53,92.05,30.51,Male,32715.5
Bijnor,Uttar Pradesh,Services,Urban,194.9,65.28,70.6,76.11,58.96,Female,42004.21
North 24 Parganas,West Bengal,Services,Rural,57.7,100.66,75.85,80.72,55.67,Female,54647.48
Dewas,Madhya Pradesh,Food,Urban,176.7,87.94,96.3,84.6,37.56,Male,68055.69
East Sikkim,Sikkim,Medical,Urban,82.7,134.61,71.53,82.75,54.38,Male,22813.93
Janjgir Champa,Chhattisgarh,Food,Urban,78.9,90.42,91.91,69.51,52.01,Male,16211.04
Bathinda,Punjab,Manufacturing,Urban,44.0,81.28,70.6,92.41,82.02,Male,14202.82
Lohit,Arunachal Pradesh,Services,Rural,107.2,64.57,91.88,72.78,27.75,Male,25416.34
Sirohi,Rajasthan,LifeStyle,Rural,123.3,78.53,87.45,61.54,10.86,Male,25898.05
Malappuram,Kerala,Medical,Rural,136.2,74.52,85.73,91.97,54.39,Female,22967.64
Medchal Malkajgiri,Telangana,Services,Rural,107.9,68.12,97.35,76.84,69.41,Male,16888.69
Ramgarh,Jharkhand,Manufacturing,Urban,45.5,65.22,71.49,67.88,23.01,Male,5000.0
Kanpur Dehat,Uttar Pradesh,Manufacturing,Urban,13.7,77.29,89.19,63.78,67.76,Female,41053.39
Saitual,Mizoram,LifeStyle,Rural,197.1,94.01,78.15,69.35,60.73,Male,38601.91
Hailakandi,Assam,Agriculture,Rural,5.8,66.96,78.64,75.64,47.42,Female,21111.27
Anjaw,Arunachal Pradesh,Agriculture,Rural,133.6,73.89,86.82,78.72,32.22,Female,36825.18
Sonbhadra,Uttar Pradesh,Manufacturing,Rural,98.3,72.25,87.76,78.94,37.14,Male,66748.75
Auraiya,Uttar Pradesh,Medical,Urban,112.8,71.52,95.55,88.66,36.0,Male,38421.99
Dhule,Maharashtra,IT and Security,Rural,32.1,68.24,80.82,91.23,45.48,Male,5000.0
Ahmedabad,Gujarat,Food,Rural,128.8,53.22,98.51,81.91,84.57,Female,22940.42
Rohtak,Haryana,Manufacturing,Urban,21.3,127.78,83.37,84.36,63.67,Male,46397.9
East Champaran,Bihar,LifeStyle,Urban,147.9,82.66,72.53,88.29,43.96,Female,47902.8
Hapur,Uttar Pradesh,Services,Urban,164.4,83.89,71.09,86.67,34.38,Male,40014.49
Mahbubnagar,Telangana,Manufacturing,Rural,101.5,77.37,85.54,77.67,60.87,Female,5000.0
Neemuch,Madhya Pradesh,IT and Security,Urban,18.3,77.14,97.63,66.9,86.83,Male,45066.06
Una,Himachal Pradesh,Construction,Urban,40.7,63.5,70.76,85.44,37.26,Male,9159.86
Bahraich,Uttar Pradesh,Manufacturing,Rural,13.7,82.77,72.49,74.97,51.31,Male,82765.35
Jaunpur,Uttar Pradesh,Manufacturing,Rural,14.0,112.07,91.13,66.05,78.62,Male,64053.66
Khordha,Odisha,Services,Urban,66.2,71.5,73.23,68.02,59.19,Male,54585.01
Nayagarh,Odisha,Construction,Rural,46.8,60.74,80.89,78.9,42.99,Male,32005.45
Adilabad,Telangana,Agriculture,Urban,72.3,59.21,93.55,84.64,44.77,Female,25813.15
Katni,Madhya Pradesh,Services,Rural,139.6,79.6,82.44,94.07,56.24,Male,35533.17
Dehradun,Uttarakhand,Services,Urban,125.8,68.29,87.39,93.99,58.05,Male,28621.46
Dhar,Madhya Pradesh,Manufacturing,Rural,16.1,67.85,70.02,75.26,49.51,Female,5309.75
Gurdaspur,Punjab,IT and Security,Rural,64.8,76.28,89.34,66.89,61.95,Male,53526.05
Kathua,Jammu Kashmir,Food,Rural,178.2,59.73,84.44,94.09,73.9,Female,17331.55
Sindhudurg,Maharashtra,Construction,Rural,88.8,80.63,86.98,68.76,46.42,Female,43805.24
Nagapattinam,Tamil Nadu,Agriculture,Rural,53.0,68.68,85.36,61.55,65.21,Male,37425.4
Kalimpong,West Bengal,Food,Urban,144.3,71.0,94.29,63.59,48.36,Female,11459.27
Bikaner,Rajasthan,Food,Rural,68.3,46.99,79.87,91.03,53.11,Female,39497.75
Belgaum,Karnataka,LifeStyle,Rural,7.2,42.58,96.54,61.98,47.7,Male,30138.58
Vikarabad,Telangana,Food,Rural,130.1,100.18,76.26,60.51,33.49,Female,32389.27
Noklak,Nagaland,Agriculture,Urban,9.7,110.57,96.51,94.69,61.01,Male,29319.74
Sawai Madhopur,Rajasthan,IT and Security,Rural,31.7,91.61,88.42,94.25,56.16,Female,42358.94
Lunglei,Mizoram,Services,Rural,128.3,101.66,70.15,83.97,49.1,Male,45610.21
Kakinada,Andhra Pradesh,Services,Urban,5.7,98.81,75.49,68.49,56.16,Male,48401.68
Balod,Chhattisgarh,IT and Security,Urban,108.4,71.73,96.79,77.44,55.61,Male,44088.42
Mumbai City,Maharashtra,Food,Rural,40.6,77.22,70.87,64.6,53.7,Male,35342.04
Siddipet,Telangana,Medical,Urban,100.0,67.64,76.1,89.05,35.03,Female,24643.4
Gorakhpur,Uttar Pradesh,LifeStyle,Rural,83.9,107.98,83.82,76.6,58.42,Female,54896.37
Nagarkurnool,Telangana,Agriculture,Urban,102.7,59.65,71.71,71.76,47.32,Male,44997.92
Guna,Madhya Pradesh,Construction,Rural,55.4,78.02,82.88,72.97,42.79,Female,34930.35
Kinnaur,Himachal Pradesh,Construction,Rural,91.7,116.22,78.49,70.59,66.86,Female,34656.47
Mandya,Karnataka,Food,Rural,182.3,83.49,72.25,64.32,38.98,Female,48333.61
Adilabad,Telangana,Agriculture,Urban,72.3,59.21,93.55,84.64,44.77,Male,19861.64
Sri Ganganagar,Rajasthan,Construction,Urban,17.8,68.74,75.3,69.7,56.79,Male,35972.28
Gonda,Uttar Pradesh,Construction,Rural,182.0,113.76,97.88,75.93,46.66,Female,59847.23
Nirmal,Telangana,IT and Security,Urban,180.8,92.07,76.67,85.61,55.71,Female,46704.4
East Garo Hills,Meghalaya,Food,Urban,195.1,75.95,83.78,78.14,82.16,Female,23623.84
Jaipur Rural,Rajasthan,Agriculture,Urban,93.4,38.21,73.11,69.21,42.01,Female,35944.36
East Garo Hills,Meghalaya,Food,Urban,195.1,75.95,83.78,78.14,82.16,Female,16700.26
Gorakhpur,Uttar Pradesh,LifeStyle,Rural,83.9,107.98,83.82,76.6,58.42,Female,30624.69
Sivaganga,Tamil Nadu,Agriculture,Rural,58.6,64.82,97.53,74.05,85.12,Male,30362.44
Ambedkar Nagar,Uttar Pradesh,Services,Rural,138.3,51.67,94.85,90.64,78.69,Male,43415.24
Ratnagiri,Maharashtra,LifeStyle,Rural,126.0,93.14,77.64,63.71,64.88,Male,43503.68
Yamunanagar,Haryana,IT and Security,Rural,74.7,72.22,85.4,93.23,73.4,Female,45903.36
Angul,Odisha,Food,Rural,125.2,72.69,94.23,75.68,56.3,Female,39138.02
Chamba,Himachal Pradesh,Manufacturing,Rural,57.1,75.74,91.52,66.71,46.06,Female,25566.92
Bahraich,Uttar Pradesh,Manufacturing,Rural,13.7,82.77,72.49,74.97,51.31,Male,26051.09
Banaskantha,Gujarat,Construction,Rural,197.6,89.73,74.82,75.42,48.49,Male,18459.75
Bulandshahr,Uttar Pradesh,Food,Urban,164.3,72.9,74.45,67.65,28.76,Male,42273.69
Ayodhya,Uttar Pradesh,Services,Urban,160.9,115.72,96.2,76.64,64.67,Female,43208.54
Faridkot,Punjab,Services,Rural,168.6,108.54,98.89,93.04,49.63,Male,42257.34
Longleng,Nagaland,Manufacturing,Urban,18.2,100.05,82.99,93.22,45.74,Male,53847.87
Solapur,Maharashtra,Services,Rural,118.2,43.48,74.75,77.63,48.47,Male,22341.52
Amreli,Gujarat,Food,Rural,61.8,92.56,92.47,63.19,55.2,Female,43066.85
Karimganj,Assam,Manufacturing,Rural,167.5,121.3,81.84,76.14,62.01,Female,60017.6
Viluppuram,Tamil Nadu,IT and Security,Rural,107.4,93.7,98.93,63.32,18.68,Female,46628.95
Kolhapur,Maharashtra,Agriculture,Urban,39.9,75.51,95.79,68.67,48.79,Female,54075.6
Dang,Gujarat,Food,Urban,106.7,104.57,77.01,68.97,18.45,Female,44614.14
Jalgaon,Maharashtra,LifeStyle,Urban,109.6,62.86,98.97,73.77,50.17,Male,18908.98
Adilabad,Telangana,Agriculture,Urban,72.3,59.21,93.55,84.64,44.77,Female,25892.03
Budgam,Jammu Kashmir,Food,Rural,82.9,54.7,77.41,61.58,53.98,Male,47025.68
Tumkur,Karnataka,Construction,Rural,87.0,71.68,78.13,64.73,52.91,Female,49888.08
West Tripura,Tripura,IT and Security,Rural,88.9,41.91,80.07,67.66,67.32,Male,6745.36
Madhubani,Bihar,Manufacturing,Rural,123.0,64.17,86.18,80.54,26.05,Female,5000.0
Ambala,Haryana,Construction,Rural,124.4,60.49,71.31,70.21,66.29,Female,40017.64
Udham Singh Nagar,Uttarakhand,LifeStyle,Rural,77.9,62.21,76.19,84.33,34.16,Male,22678.03
Bilaspur,Chhattisgarh,Construction,Urban,85.7,75.95,81.43,68.28,69.84,Female,5000.0
Bilaspur,Himachal Pradesh,Food,Rural,80.0,88.55,98.17,77.72,55.14,Male,17025.42
Pudukkottai,Tamil Nadu,Services,Rural,113.5,117.3,97.17,71.09,45.89,Female,43106.31
Unakoti,Tripura,LifeStyle,Rural,158.6,99.82,72.08,63.96,48.18,Male,36021.51
Kinnaur,Himachal Pradesh,Construction,Rural,91.7,116.22,78.49,70.59,66.86,Male,70924.89
Nuapada,Odisha,Medical,Rural,164.0,97.03,71.79,73.29,37.31,Female,34535.28
Dindori,Madhya Pradesh,Manufacturing,Urban,86.8,90.99,84.48,82.15,61.06,Female,31899.6
Mauganj,Madhya Pradesh,Services,Rural,105.2,54.08,81.27,90.72,30.62,Male,9782.16
Kokrajhar,Assam,Medical,Urban,93.5,93.52,72.12,80.4,42.81,Male,34418.03
Lohardaga,Jharkhand,LifeStyle,Urban,18.8,72.33,77.69,72.55,64.92,Male,39747.44
Fatehabad,Haryana,Food,Rural,76.4,78.0,92.28,61.54,51.58,Male,20701.31
Darbhanga,Bihar,Construction,Rural,122.5,87.18,83.35,73.51,47.75,Male,5000.0
Nagpur,Maharashtra,Food,Rural,153.3,83.94,98.56,84.76,52.76,Male,49002.52
Deoria,Uttar Pradesh,LifeStyle,Rural,100.5,54.69,74.58,93.96,39.96,Female,30254.1
Surajpur,Chhattisgarh,Construction,Urban,184.3,98.57,93.45,88.89,64.02,Male,34691.99
Bokaro,Jharkhand,Services,Rural,196.7,92.15,99.08,81.84,30.16,Male,51745.94
Ambala,Haryana,Construction,Rural,124.4,60.49,71.31,70.21,66.29,Male,21745.81
Charaideo,Assam,Medical,Rural,124.8,123.17,99.67,81.97,70.5,Female,56362.59
Washim,Maharashtra,LifeStyle,Urban,66.6,40.96,72.16,69.44,64.16,Male,44610.01
South East Delhi,Delhi,IT and Security,Urban,144.7,100.53,77.3,93.07,79.67,Female,43987.49
Kadapa,Andhra Pradesh,Food,Rural,50.9,93.87,87.59,75.62,35.3,Male,36632.53
Auraiya,Uttar Pradesh,Medical,Urban,112.8,71.52,95.55,88.66,36.0,Male,5000.0
Thane,Maharashtra,Food,Urban,79.3,52.98,81.88,86.05,36.47,Male,17893.28
Ambala,Haryana,Construction,Rural,124.4,60.49,71.31,70.21,66.29,Female,27402.91
Alappuzha,Kerala,Medical,Rural,46.5,87.23,82.1,86.09,28.81,Female,40442.92
South East Delhi,Delhi,IT and Security,Urban,144.7,100.53,77.3,93.07,79.67,Male,44754.66
Kurukshetra,Haryana,Manufacturing,Urban,186.0,66.38,77.89,83.43,71.59,Male,61005.97
Dahod,Gujarat,Manufacturing,Rural,147.2,45.72,98.95,76.7,75.5,Male,27822.44
Raebareli,Uttar Pradesh,Services,Urban,52.2,104.44,70.45,69.18,64.76,Female,44444.69
Varanasi,Uttar Pradesh,IT and Security,Rural,185.9,82.19,81.03,80.23,43.82,Male,62502.6
Sivaganga,Tamil Nadu,Agriculture,Rural,58.6,64.82,97.53,74.05,85.12,Male,54915.83
Ratnagiri,Maharashtra,LifeStyle,Rural,126.0,93.14,77.64,63.71,64.88,Male,59099.67
West Karbi Anglong,Assam,Agriculture,Urban,151.0,83.74,96.49,77.06,58.54,Male,22512.98
Akola,Maharashtra,LifeStyle,Rural,198.5,69.77,70.85,89.17,41.04,Female,24392.99
Pauri,Uttarakhand,IT and Security,Rural,78.2,28.89,96.39,81.13,80.26,Female,29159.1
Uttara Kannada,Karnataka,Services,Rural,127.7,57.34,77.12,92.63,80.13,Female,33754.57
East Jaintia Hills,Meghalaya,Construction,Urban,20.7,92.12,94.42,88.53,58.3,Male,42528.32
East Delhi,Delhi,Food,Urban,111.4,93.78,79.9,80.5,34.81,Female,52157.09
North Sikkim,Sikkim,Services,Urban,77.8,85.16,94.79,83.1,49.43,Male,15492.31
Tirunelveli,Tamil Nadu,LifeStyle,Rural,101.5,98.71,75.97,86.28,60.65,Male,38759.09
Ramban,Jammu Kashmir,Agriculture,Rural,166.1,116.11,84.73,72.06,35.65,Male,5107.4
Morbi,Gujarat,Medical,Rural,149.3,70.07,99.69,73.27,54.02,Male,48101.74
Kadapa,Andhra Pradesh,Food,Rural,50.9,93.87,87.59,75.62,35.3,Female,46377.17
West Delhi,Delhi,Agriculture,Rural,194.7,97.55,91.1,76.22,68.13,Female,58719.38
Haridwar,Uttarakhand,Services,Rural,139.9,77.66,89.07,76.66,59.41,Female,27068.87
Kangpokpi,Manipur,Agriculture,Urban,144.9,61.77,99.94,65.39,74.28,Male,28409.9
Botad,Gujarat,Construction,Urban,32.1,96.69,80.27,88.9,34.08,Female,40052.73
Charaideo,Assam,Medical,Rural,124.8,123.17,99.67,81.97,70.5,Female,62858.74
Yadgir,Karnataka,Services,Rural,156.6,63.43,99.92,63.43,52.54,Male,62404.13
Howrah,West Bengal,Medical,Urban,99.5,35.23,92.6,68.69,68.86,Male,35160.57
Lower Subansiri,Arunachal Pradesh,IT and Security,Rural,126.6,82.48,86.81,66.23,30.12,Male,43920.74
Fatehgarh Sahib,Punjab,Agriculture,Urban,30.5,78.74,82.47,63.03,48.91,Female,38201.11
Chikkaballapur,Karnataka,Construction,Rural,129.4,72.51,99.91,61.48,48.49,Male,10524.62
Palghar,Maharashtra,IT and Security,Urban,26.3,67.35,82.75,66.42,43.61,Male,25155.51
Sitapur,Uttar Pradesh,Agriculture,Rural,166.0,85.17,77.33,72.67,53.91,Female,41674.78
Sindhudurg,Maharashtra,Construction,Rural,88.8,80.63,86.98,68.76,46.42,Female,43919.86
South Goa,Goa,Agriculture,Rural,182.6,73.79,96.76,80.41,37.26,Female,48261.99
Hanamkonda,Telangana,IT and Security,Urban,89.0,98.02,82.96,71.97,52.87,Male,28162.61
Rajouri,Jammu Kashmir,Services,Rural,101.2,78.45,97.37,86.01,72.34,Male,35847.59
Ramanathapuram,Tamil Nadu,Food,Rural,121.8,107.64,97.76,87.84,73.13,Male,27960.59
Doda,Jammu Kashmir,Services,Urban,94.3,70.84,91.24,67.99,51.57,Female,35200.4
Keyi Panyor,Arunachal Pradesh,Manufacturing,Rural,107.6,75.79,75.22,60.53,41.62,Female,34715.93
Davanagere,Karnataka,Services,Rural,89.3,93.21,87.58,91.07,44.46,Female,53901.57
East Sikkim,Sikkim,Medical,Urban,82.7,134.61,71.53,82.75,54.38,Female,22024.02
East Singhbhum,Jharkhand,Construction,Rural,145.6,94.28,73.56,62.9,34.77,Female,43238.81
Sirmaur,Himachal Pradesh,Services,Urban,159.1,77.7,92.13,68.51,38.27,Male,27417.56
North West Delhi,Delhi,Construction,Urban,58.8,90.13,71.4,80.74,28.34,Male,30528.55
Hazaribagh,Jharkhand,Manufacturing,Rural,37.1,95.63,91.98,73.97,45.68,Female,38781.54
Siddipet,Telangana,Medical,Urban,100.0,67.64,76.1,89.05,35.03,Female,34711.78
Palghar,Maharashtra,IT and Security,Urban,26.3,67.35,82.75,66.42,43.61,Male,32156.61
Haridwar,Uttarakhand,Services,Rural,139.9,77.66,89.07,76.66,59.41,Female,47879.16
